Token,Item Name,Variation Name,SKU,Description,Category,Square Online Item Visibility,Price,Sellable,Stockable,Option Name 1,Option Value 1,Current Quantity Coastal Cottage Boutique,New Quantity Coastal Cottage Boutique,Stock Alert Enabled Coastal Cottage Boutique,Stock Alert Count Coastal Cottage Boutique,Tax - Sales Tax (7%)
LLBFKENBOYXITY75UCT5ITKK,Claudia Earrings,18K Gold-Plated,,"<p><strong><em>Made with Stainless Steel and 18K Gold and Cubic Zirconia, these beauties are completely hypoallergenic, being Nickel-Free, Lead-Free, and Cadmium-Free.</em></strong></p>",,visible,32.00,,,,,1,,,,N
UCEOEBLQYNYVGFTZVCCOSSGO,Claudia Necklace,18K Gold-Plated,,"<p><strong><em>Made with Stainless Steel and 18K Gold and Cubic Zirconia, this beauty is completely hypoallergenic, being Nickel-Free, Lead-Free, and Cadmium-Free. </em></strong></p>",,visible,35.00,,,,,0,,,,N
AL5BYMNONI4M7IVCPWUPBVB4,Claudia Ring,Size 7,,"<p><strong><em>Made with Stainless Steel and 18K Gold, this beauty is completely hypoallergenic, being Nickel-Free, Lead-Free, and Cadmium-Free. </em></strong></p>",,visible,39.00,,,,,1,,,,N
DS6B5PLI5PD5WSV6XXJ2Y5SO,Diana Bracelet,18K Gold-Plated,,"<p><strong><em>Made with Stainless Steel and 18K Gold, this beauty is completely hypoallergenic, being Nickel-Free, Lead-Free, and Cadmium-Free. </em></strong></p><p><br/></p>",,visible,49.00,,,,,1,,,,N
RQ5QMWYNPARG7RRZBU672SSU,Diana Earrings,18K Gold-Plated,,"<p><strong><em>Made with Stainless Steel and 18K Gold, these beauties are completely hypoallergenic, being Nickel-Free, Lead-Free, and Cadmium-Free. </em></strong></p><p><br/></p>",,visible,32.00,,,,,1,,,,N
LJO6HAIOWX4YHT6SICY75IXF,Diana Necklace,18K Gold-Plated,,"<p><strong>Made with Stainless Steel and 18K Gold, this beauty is completely hypoallergenic, being Nickel-Free, Lead-Free, and Cadmium-Free. </strong></p>",,visible,39.00,,,,,1,,,,N
VJBPBIQKBS5ODK45NW5BSKQI,Diana Ring,18K Gold-Plated,,"<p><strong><em>Made with Stainless Steel and 18K Gold, this beauty is completely hypoallergenic, being Nickel-Free, Lead-Free, and Cadmium-Free.</em></strong></p>",,visible,39.00,,,,,1,,,,N
M2EUCKDNBGHLAMYZSPXLHOMW,Discount,Regular,,,,,variable,,,,,,,,,Y
P6OS6RYEQCE7VSPKCMQV3RHG,Janette Bracelet,18K Gold-Plated,,"<p><strong><em>Made with Stainless Steel and 18K Gold, this beauty is completely hypoallergenic, being Nickel-Free, Lead-Free, and Cadmium-Free. </em></strong></p>",,visible,35.00,,,,,1,,,,N
T5HO57X55I7S5RM2O4SFFPZ5,Janette Necklace,18K Gold-Plated,,"<p><strong><em>Made with Stainless Steel and 18K Gold, this beauty is completely hypoallergenic, being Nickel-Free, Lead-Free, and Cadmium-Free. </em></strong></p>",,visible,39.00,,,,,1,,,,N
HF6SHXY3PLF3XK7XVWSYIRIY,Janette Ring,18K Gold-Plated,,"<p><strong><em>Made with Stainless Steel and 18K Gold, this beauty is completely hypoallergenic, being Nickel-Free, Lead-Free, and Cadmium-Free. </em></strong></p>",,visible,39.00,,,,,1,,,,N
OIG6KLXVDB5K3VREBVWKS4FN,Karen Bracelet,18K Gold-Plated,,"<p><strong><em>Made with Stainless Steel and 18K Gold, this beauty is completely hypoallergenic, being Nickel-Free, Lead-Free, and Cadmium-Free. </em></strong></p>",,visible,35.00,,,,,1,,,,N
QC7U6MTVUAEJQRLIORLQK7EE,Karen Chain,18K Gold-Plated,,"<p><strong>Made with Stainless Steel and 18K Gold and Freshwater Pearl, this beauty is completely hypoallergenic, being Nickel-Free, Lead-Free, and Cadmium-Free. </strong></p>",,visible,45.00,,,,,1,,,,N
43GHB3VMQADNLVWG5VY2LOHB,Karen Ring,18K Gold-Plated,,"<p><strong><em>Adjustable ring, Size 7.Made with Stainless Steel and 18K Gold, this beauty is completely hypoallergenic, being Nickel-Free, Lead-Free, and Cadmium-Free. </em></strong></p>",,visible,39.00,,,,,1,,,,N
7ZJLRZL7XFLAGLCV2MU7HEZ7,Katherine Necklace,18K Gold-Plated,,"<p><strong>Made with Stainless Steel and 18K Gold, this beauty is completely hypoallergenic, being Nickel-Free, Lead-Free, and Cadmium-Free. </strong></p>",,visible,39.00,,,,,1,,,,N
5DH2OKRWCXMGYRTURFGBD2VW,Leslie Earrings,18K Gold-Plated,,"<p><strong><em>Made with Stainless Steel and 18K Gold, these beauties are completely hypoallergenic, being Nickel-Free, Lead-Free, and Cadmium-Free.</em></strong></p>",,visible,32.00,,,,,1,,,,N
OD62BOP2TLKTM2SHZDVPMTOY,Leslie Necklace,18K Gold-Plated,,"<p><strong><em>Made with Stainless Steel and 18K Gold, this beauty is completely hypoallergenic, being Nickel-Free, Lead-Free, and Cadmium-Free. </em></strong></p>",,visible,39.00,,,,,0,,,,N
NKBCLTYDOLESKFAT35YF7OT4,Leslie Ring,18K Gold-Plated,,"<p><strong><em>Made with Stainless Steel and 18K Gold, this beauty is completely hypoallergenic, being Nickel-Free, Lead-Free, and Cadmium-Free. </em></strong></p>",,visible,39.00,,,,,1,,,,N
BWFDTR6JMYYVJVV3O5UY3QUP,Liz Earrings,18K Gold-Plated,,"<p><strong><em>Made with Stainless Steel and 18K Gold and Cubic Zirconia, these beauties are completely hypoallergenic, being Nickel-Free, Lead-Free, and Cadmium-Free.</em></strong></p>",,visible,32.00,,,,,1,,,,N
DJNTLRYRGICR76RP6JKSJK5B,Liz Necklace,18K Gold-Plated,,"<p><strong><em>Made with Stainless Steel and 18K Gold and Cubic Zirconia, these beauties are completely hypoallergenic, being Nickel-Free, Lead-Free, and Cadmium-Free.</em></strong></p>",,visible,35.00,,,,,1,,,,N
GVXWE6IPACRCJPBFZ4SBGVWV,Mary Necklace,18K Gold-Plated,,"<p><strong><em>Made with Stainless Steel and 18K Gold, this beauty is completely hypoallergenic, being Nickel-Free, Lead-Free, and Cadmium-Free</em></strong></p>",,visible,35.00,,,,,1,,,,N
DDYYJ5RYGISODM5KRSGSCJU7,Mary Ring,Size 7,,"<p><strong><em>Made with Stainless Steel and 18K Gold, this beauty is completely hypoallergenic, being Nickel-Free, Lead-Free, and Cadmium-Free. </em></strong></p><p><strong><em>Size 7</em></strong></p>",,visible,39.00,,,,,1,,,,N
FCAYBZQ2IHMVZRSPTCD5ZTLX,Mommy-To-Be Necklace,18K Gold-Plated,,"This beautiful necklace holds a special place in our hearts! It is dedicated to all the expecting mother’s out there! It’s the perfect gift for yourself or for someone in your life to show a token of your care, gratitude and hope for them and their future baby! Made of Stainless Steel and 18K Gold, this beauty is lead-free, nickel-free, and cadmium-free, completely clean and hypoallergenic.",,visible,35.00,,,,,1,,,,N
4R22LD4PZVFLVLX2ODHQPFFH,Nina Necklace,18K Gold-Plated,,"<p><strong>Made with Stainless Steel and 18K Gold, this beauty is completely hypoallergenic, being Nickel-Free, Lead-Free, and Cadmium-Free. </strong></p>",,visible,39.00,,,,,1,,,,N
MR7YSYIJG77ZOSDXAPYX2NQT,Ryleigh Bracelet,18K Gold-Plated,,"<p><strong>Made with Stainless Steel and 18K Gold, this beauty is completely hypoallergenic, being Nickel-Free, Lead-Free, and Cadmium-Free. </strong></p>",,visible,35.00,,,,,1,,,,N
HDLS4NCTHMLPHXOPVRP7FZK5,Ryleigh Earrings,18K Gold-Plated,,"<p><strong>Made with Stainless Steel and 18K Gold, this beauty is completely hypoallergenic, being Nickel-Free, Lead-Free, and Cadmium-Free. </strong></p>",,visible,32.00,,,,,1,,,,N
JC3KNNWEMZSPY3QZTCGINKDB,Ryleigh Necklace,18K Gold-Plated,,"<p><strong>Made with Stainless Steel and 18K Gold, this beauty is completely hypoallergenic, being Nickel-Free, Lead-Free, and Cadmium-Free. </strong></p>",,visible,39.00,,,,,1,,,,N
YPZ2N5ROBNJPGB56EOCBNHEF,Ryleigh Ring,18K Gold-Plated,,"<p><strong>3 in 1 Stackable Ring Set. Made with Stainless Steel and 18K Gold, this beauty is completely hypoallergenic, being Nickel-Free, Lead-Free, and Cadmium-Free. </strong></p>",,visible,39.00,,,,,1,,,,N
KKCTWWOCW2HQEOQZD2D2KHQL,Sofia Bracelet,18K Gold-Plated,,"<p><strong><em>Made with Stainless Steel and 18K Gold, this beauty is completely hypoallergenic, being Nickel-Free, Lead-Free, and Cadmium-Free. </em></strong></p>",,visible,35.00,,,,,1,,,,N
L6GQLKL26HW5ALNACSF6CTNO,Sofia Necklace,18K Gold-Plated,,"<p><strong><em>Made with Stainless Steel and 18K Gold, this beauty is completely hypoallergenic, being Nickel-Free, Lead-Free, and Cadmium-Free. </em></strong></p>",,visible,39.00,,,,,1,,,,N
ITB7ZNQHIDMEN7GE6PZTG5WQ,Sofia Ring,18K Gold-Plated,,"<p><strong><em>Adjustable Ring.Made with Stainless Steel and 18K Gold, this beauty is completely hypoallergenic, being Nickel-Free, Lead-Free, and Cadmium-Free. </em></strong></p>",,visible,39.00,,,,,1,,,,N
V5QMXGANXTA7YQDVIMCGAAAI,Vanessa Chain,18K Gold-Plated,,"<p><strong>Made with Stainless Steel and 18K Gold, this beauty is completely hypoallergenic, Nickel-Free, Lead-Free, and Cadmium-Free. </strong></p>",,visible,39.00,,,,,1,,,,N
ENIFW3QEKENRVMLRKHL7O2EY,Vanessa Earring,18K Gold-Plated,,"<p><strong><em>Made with Stainless Steel and 18K Gold, these beauties are completely hypoallergenic, being Nickel-Free, Lead-Free, and Cadmium-Free. </em></strong></p>",,visible,32.00,,,,,1,,,,N
